variable,lag_days,correlation
sh_return,0,0.5790612927547707
sh_return,1,0.006843556167462933
sh_return,2,0.05413284070717732
sh_return,3,0.025531095543653758
sh_return,5,-0.06151201678678744
sh_return,10,-0.007643357239601646
sz_return,0,0.5868862226405877
sz_return,1,0.02427390522135025
sz_return,2,0.03403616692221859
sz_return,3,0.03345103288094353
sz_return,5,-0.06873273158824118
sz_return,10,-0.017510222727501013
cyb_return,0,0.5447504202413721
cyb_return,1,0.027112965776142247
cyb_return,2,0.028089231878997895
cyb_return,3,0.02350241847707215
cyb_return,5,-0.07201592111896203
cyb_return,10,-0.014980622794480368
hs300_return,0,0.5670413530732392
hs300_return,1,0.012127415465270254
hs300_return,2,0.05333397959583503
hs300_return,3,0.04318965624043643
hs300_return,5,-0.06390094515367326
hs300_return,10,-0.01480642075150879
broker_return,0,0.7596623952993806
broker_return,1,-0.013595754873830208
broker_return,2,0.05195487857058445
broker_return,3,0.037542561036510075
broker_return,5,-0.05652501523227269
broker_return,10,-0.008649031197027307
market_amount_change,0,0.31667321156668854
market_amount_change,1,0.017029309501716383
market_amount_change,2,0.042803007304831324
market_amount_change,3,0.002104013175561307
market_amount_change,5,-0.0422928192755337
market_amount_change,10,-0.009549344509185983
stock_volume_change,0,0.3871173680745496
stock_volume_change,1,-0.02457595197044413
stock_volume_change,2,0.040336788969498376
stock_volume_change,3,-0.0054013493019008
stock_volume_change,5,-0.0034537424914976656
stock_volume_change,10,-0.023598920898950354
stock_turnover_change,0,0.38755946541554426
stock_turnover_change,1,-0.02634638147270904
stock_turnover_change,2,0.0385013374516435
stock_turnover_change,3,-0.0036751086890806093
stock_turnover_change,5,-0.005137476895246613
stock_turnover_change,10,-0.02318442181667234
