model,r2,mae,rmse,direction_accuracy,oos_samples,signal_win_rate,total_return,max_drawdown,trade_count,win_rate,profit_loss_ratio
A,0.3363762359822996,0.02113991627922982,0.03185357900154947,0.7309236947791165,1245,0.40789473684210525,-0.050855813501699876,-0.5444341905193917,63,0.38095238095238093,1.7427036785077252
B,0.6129165552461795,0.015981420811372066,0.024327616990350243,0.7919678714859437,1245,0.44,0.438315089560221,-0.4031720156971885,47,0.5106382978723404,1.4141172215498308
C,0.6215797945836821,0.015858613257042745,0.02405384065483517,0.7983935742971887,1245,0.4423076923076923,0.3643686533865149,-0.418790828926366,45,0.4444444444444444,1.7588628592313134
D,0.6246573972599982,0.015881482387791898,0.0239558288522055,0.8048192771084337,1245,0.44,-0.17394915598350136,-0.4328300647872948,45,0.4444444444444444,1.217658613972411
