model,variable,coefficient
A,intercept,0.0004317595321486154
A,sh_return,1.7260773237565197
A,sz_return,0.6907206211494956
A,cyb_return,0.3258399480859272
A,hs300_return,-0.5316423475734927
B,intercept,0.0006809132019759403
B,sh_return,-0.17075563844156963
B,sz_return,1.2083337093607163
B,cyb_return,0.18186699744496385
B,hs300_return,-1.6791484044456155
B,broker_return,1.8983144232628044
C,intercept,0.0004545476436370278
C,sh_return,-0.01959553528012913
C,sz_return,1.2136532680248162
C,cyb_return,0.19402138563644908
C,hs300_return,-1.8422323284520268
C,broker_return,1.8324245765008789
C,market_amount_change,0.035422219643135286
D,intercept,-0.0002319847464799297
D,sh_return,0.09606565920885107
D,sz_return,1.2793122119388152
D,cyb_return,0.16860808528848859
D,hs300_return,-1.88526308688358
D,broker_return,1.717638678625804
D,market_amount_change,0.01805019485711159
D,stock_volume_change,-0.0049290853514952285
D,stock_turnover_change,0.01435884585114442
