model,total_return,annualized_return,max_drawdown,trade_count,win_rate,profit_loss_ratio,profit_factor,avg_holding_days,signal_win_rate
A,-0.1687644000381162,-0.03683871268688599,-0.5180340766338015,67,0.40298507462686567,1.4807804154010396,0.9995267803957015,3.8955223880597014,0.379746835443038
B,0.5786142760495077,0.09714072406475593,-0.3862882631364195,49,0.5510204081632653,1.2714940332160671,1.5604699498560823,3.979591836734694,0.4339622641509434
C,0.27104173908548046,0.049907177449575624,-0.4378907555784467,44,0.45454545454545453,1.6160049072441767,1.3466707560368139,4.159090909090909,0.4339622641509434
D,0.08311016618088507,0.016343925133440518,-0.44542949951978394,46,0.45652173913043476,1.4094370414661277,1.1839271148315471,4.173913043478261,0.43137254901960786
