model,entry_date,exit_date,entry_price,exit_price,return,holding_days
C,2021-06-07,2021-06-08,30.92,30.91,-0.0003234152652005218,1
C,2021-06-10,2021-06-18,29.6,29.43,-0.005743243243243268,8
C,2021-08-20,2021-08-27,27.92,27.27,-0.02328080229226359,7
C,2022-06-22,2022-06-23,23.67,22.77,-0.03802281368821303,1
C,2022-08-15,2022-08-16,24.12,23.99,-0.005389718076285299,1
C,2023-02-03,2023-02-08,39.45,36.07,-0.08567807351077328,5
C,2023-02-09,2023-02-17,34.35,31.92,-0.07074235807860263,8
C,2023-03-16,2023-03-21,28.62,31.51,0.10097833682739354,5
C,2023-03-29,2023-03-31,35.64,33.41,-0.06257014590347931,2
C,2023-04-07,2023-04-11,40.64,37.33,-0.08144685039370092,4
C,2023-04-19,2023-04-24,38.68,35.15,-0.09126163391933817,5
C,2023-05-10,2023-05-17,40.64,37.77,-0.07062007874015741,7
C,2023-06-26,2023-06-29,38.92,35.5,-0.08787255909558056,3
C,2023-07-13,2023-07-18,32.34,33.33,0.030612244897959107,5
C,2023-07-28,2023-07-31,37.6,50.16,0.33404255319148923,3
C,2023-08-07,2023-08-08,57.37,57.95,0.010109813491371966,1
C,2023-08-17,2023-08-21,51.96,51.28,-0.013086989992301734,4
C,2023-09-12,2023-09-18,51.07,47.78,-0.06442138241629136,6
C,2023-09-26,2023-09-27,49.67,49.26,-0.008254479565129924,1
C,2023-10-10,2023-10-18,46.86,50.36,0.07469056764831428,8
C,2023-10-26,2023-11-06,51.28,54.94,0.07137285491419654,11
C,2023-11-07,2023-11-10,53.2,51.24,-0.03684210526315779,3
C,2023-11-14,2023-11-15,49.42,51.68,0.045730473492513024,1
C,2024-01-26,2024-01-29,41.39,41.44,0.0012080212611740304,3
C,2024-02-08,2024-02-20,37.74,38.18,0.011658717541070507,12
C,2024-05-07,2024-05-08,45.85,45.04,-0.017666303162486297,1
C,2024-05-16,2024-05-17,42.13,41.24,-0.021125089010206488,1
C,2024-07-25,2024-07-29,36.52,38.34,0.04983570646221236,4
C,2024-09-26,2024-09-27,49.37,58.12,0.1772331375329148,1
C,2024-10-24,2024-11-06,74.5,86.21,0.15718120805369118,13
C,2024-11-11,2024-11-12,89.27,92.84,0.039991038422762415,1
C,2024-11-21,2024-11-26,88.25,81.62,-0.07512747875354098,5
C,2024-12-12,2024-12-26,95.43,101.16,0.06004401131719583,14
C,2024-12-31,2025-01-02,95.9,86.71,-0.09582898852971844,2
C,2025-06-30,2025-07-03,81.51,79.66,-0.02269660164397025,3
C,2025-07-07,2025-07-10,72.94,75.81,0.03934740882917498,3
C,2025-10-13,2025-10-15,106.87,107.77,0.00842144661738553,2
C,2026-02-05,2026-02-06,94.04,93.84,-0.002126754572522427,1
C,2026-04-13,2026-04-16,77.86,80.87,0.038659131774980926,3
C,2026-04-29,2026-05-06,77.02,79.66,0.03427681121786552,7
C,2026-06-01,2026-06-03,78.87,81.16,0.02903512108533035,2
C,2026-06-11,2026-06-12,68.0,65.16,-0.04176470588235304,1
C,2026-06-26,2026-06-29,78.72,72.86,-0.07444105691056913,3
C,2026-07-01,2026-07-02,71.0,82.5,0.1619718309859155,1
