date,open,high,low,close,volume,amount
2016-07-05,2991.752,3010.275,2990.642,3006.392,23520445000,70711677684440.0
2016-07-06,2998.521,3017.652,2984.828,3017.292,21237092000,64078507794864.0
2016-07-07,3009.353,3024.109,2994.643,3016.847,22268166700,67179651904394.91
2016-07-08,3000.326,3001.551,2983.881,2988.094,16898685900,50494861945674.6
2016-07-11,2993.749,3022.944,2990.907,2994.917,22433822400,67187436080740.8
2016-07-12,2992.52,3049.681,2984.421,3049.381,25948629500,79127257773339.5
2016-07-13,3049.513,3069.047,3048.199,3060.689,25365938400,77637248635557.6
2016-07-14,3054.975,3057.046,3036.523,3054.018,18019480400,55031817492247.2
2016-07-15,3056.682,3062.683,3044.538,3054.296,17286639800,52798514794580.8
2016-07-18,3047.637,3058.321,3031.639,3043.564,17749656200,54022214622696.8
2016-07-19,3040.226,3043.6,3014.289,3036.598,15536146600,47177031693266.8
2016-07-20,3034.714,3042.997,3022.631,3027.9,13824281500,41858541953850.0
2016-07-21,3027.604,3053.334,3027.368,3039.009,16376737000,49769051133633.0
2016-07-22,3038.118,3039.27,3007.457,3012.816,16201018100,48810686547969.59
2016-07-25,3008.094,3027.123,3003.292,3015.828,14420658200,43490224777989.6
2016-07-26,3014.04,3050.615,3013.802,3050.166,15669450600,47794425458799.6
2016-07-27,3050.368,3057.424,2939.227,2991.999,28016091500,83824117751908.5
2016-07-28,2980.501,3003.363,2968.182,2994.323,19056495000,57061301277885.0
2016-07-29,2992.536,3000.055,2972.917,2979.339,15010153400,44720335420602.6
2016-08-01,2971.949,2972.875,2931.963,2953.385,14740776300,43535187612775.5
2016-08-02,2950.08,2971.279,2946.637,2971.279,11546890000,34309031772310.0
2016-08-03,2963.215,2981.156,2956.786,2978.461,14114133200,42038395285005.195
2016-08-04,2976.41,2982.86,2958.933,2982.426,13393330100,39944615916822.6
2016-08-05,2978.778,2991.677,2971.564,2976.696,14185710100,42226546511829.6
2016-08-08,2972.625,3004.718,2959.048,3004.277,15572983300,46785555549574.1
2016-08-09,3001.306,3025.911,2998.677,3025.681,16999544600,51435199104872.6
2016-08-10,3023.472,3033.196,3017.09,3018.746,16467516500,49711249564309.0
2016-08-11,3013.678,3038.048,3001.168,3002.638,16187948100,48606548107087.8
2016-08-12,3000.273,3051.054,2999.039,3050.667,16817365700,51304182567921.9
2016-08-15,3056.484,3137.476,3053.871,3125.195,29761650600,93010961646867.0
2016-08-16,3130.533,3140.441,3102.065,3110.037,27832893400,86561328291055.8
2016-08-17,3106.991,3114.255,3090.281,3109.555,21383963700,66494611243153.5
2016-08-18,3107.753,3125.581,3093.317,3104.114,22935908100,71195673435923.4
2016-08-19,3100.391,3113.344,3082.771,3108.102,19434745300,60405170736420.59
2016-08-22,3107.381,3112.74,3083.593,3084.805,18538792700,57188560414923.5
2016-08-23,3081.572,3101.11,3073.529,3089.706,16136896500,49858265937429.0
2016-08-24,3092.02,3097.148,3079.548,3085.88,14570744000,44963567494720.0
2016-08-25,3073.444,3073.444,3041.505,3068.329,17403298000,53399043949042.0
2016-08-26,3069.85,3087.652,3063.894,3070.309,14966390100,45951442221540.91
2016-08-29,3068.46,3074.943,3058.785,3070.027,14450000700,44361892299018.9
2016-08-30,3071.44,3082.988,3065.971,3074.677,14043481100,43179168338104.7
2016-08-31,3072.916,3087.698,3063.396,3085.491,14136860900,43619157075201.9
2016-09-01,3083.961,3088.704,3062.876,3063.305,15519109300,47539765114236.5
2016-09-02,3057.495,3072.526,3050.492,3067.352,15044692000,46147366095584.0
2016-09-05,3070.707,3085.485,3065.329,3072.095,14496331700,44534108133911.5
2016-09-06,3071.055,3095.509,3053.187,3090.713,17290852400,53441062293761.2
2016-09-07,3091.329,3105.678,3087.879,3091.928,18695676300,57805685030906.4
2016-09-08,3089.953,3096.783,3083.902,3095.954,14588377100,45164944436253.41
2016-09-09,3095.427,3101.792,3078.218,3078.855,16069292400,49475021252202.0
2016-09-12,3037.507,3040.952,2999.929,3021.977,20601208600,62256378561402.195
2016-09-13,3025.035,3029.721,3008.741,3023.51,13538758000,40934570200580.0
2016-09-14,3008.904,3017.945,2995.416,3002.849,13341340100,40062029777944.9
2016-09-19,3005.323,3026.651,3005.323,3026.051,11922502700,36078101217837.695
2016-09-20,3027.172,3027.817,3015.88,3023.0,11892411700,35950760569100.0
2016-09-21,3021.576,3032.45,3017.541,3025.874,11572121300,35015780966516.2
2016-09-22,3038.422,3054.435,3035.07,3042.313,13930955400,42382326715840.2
2016-09-23,3044.786,3046.805,3032.802,3033.896,12559097600,38102995972249.6
2016-09-26,3028.243,3028.243,2980.117,2980.43,14433028600,43016631430298.0
2016-09-27,2974.593,2998.233,2969.132,2998.172,12170145000,36488187974940.0
2016-09-28,3000.695,3000.695,2984.321,2987.858,10462569700,31260672578702.6
2016-09-29,2992.168,3009.198,2991.909,2998.483,11321391900,33947001148487.703
2016-09-30,2994.251,3009.195,2993.062,3004.703,10133356200,30447725774208.6
2016-10-10,3020.457,3048.236,3014.62,3048.143,16005110400,48785865229987.2
2016-10-11,3051.622,3066.104,3048.018,3065.25,16727349600,51273508361400.0
2016-10-12,3057.316,3060.514,3048.888,3058.498,14249357700,43581632026734.6
2016-10-13,3057.972,3064.999,3052.64,3061.346,15475672500,47376388105185.0
2016-10-14,3056.993,3064.79,3043.184,3063.809,15537370500,47603535574234.5
2016-10-17,3064.691,3068.812,3033.753,3041.166,16373326500,49794003858699.0
2016-10-18,3037.404,3084.187,3037.404,3083.875,18204246000,56139619133250.0
2016-10-19,3085.749,3096.223,3076.771,3084.719,18247014300,56286911704481.7
2016-10-20,3084.908,3089.682,3076.295,3084.458,16069136400,49564576322071.2
2016-10-21,3081.389,3101.849,3069.267,3090.941,18738807200,57920547465575.195
2016-10-24,3092.047,3137.034,3090.786,3128.247,24052234900,75241331669220.3
2016-10-25,3127.968,3132.505,3121.05,3131.939,20338089800,63697656630122.195
2016-10-26,3129.838,3129.838,3110.387,3116.312,19166326300,59728252644605.6
2016-10-27,3112.603,3114.759,3100.392,3112.35,15800878900,49177865444415.0
