date,open,high,low,close,pct_change,volume,amount,turnover,sh_close,sz_close,cyb_close,hs300_close,broker_close,market_amount,stock_return,sh_return,sz_return,cyb_return,hs300_return,broker_return,market_amount_change,stock_volume_change,stock_turnover_change,atr20,volatility20,broker_trend20,market_trend20,amount_trend5
2020-04-28,35.69,35.69,31.39,31.75,-12.074217668235942,6729763.0,1250989627.0,43.72902127040204,2810.024,10501.147,2030.724,3849.147,698.875,475309081006051.5,-0.12074217668235943,-0.001943175178787393,0.004685725099599081,0.005973251642421351,0.006900233835735348,0.012372271972697302,0.20631234220863215,-0.3968277399459833,-0.3968277399459833,,,,,
2020-04-29,30.7,33.83,30.7,32.07,1.0078740157480226,4248538.0,765860773.0,27.606382062802414,2822.442,10514.173,2030.477,3867.032,700.771,362185706978825.56,0.010078740157480226,0.004419179337970203,0.0012404359257136566,-0.00012163149694388586,0.004646484013211216,0.002712931497048876,-0.23799960604115977,-0.3686942615958393,-0.3686942615958393,,,,,
2020-04-30,32.29,34.8,32.07,33.49,4.427814156532595,4344934.0,810082520.0,28.232749252015715,2860.082,10721.779,2069.432,3912.577,716.765,442572038603032.5,0.044278141565325946,0.013335969348528653,0.01974534754183699,0.019185147135377445,0.011777766514474264,0.022823433047315156,0.22194782973284632,0.022689216855304117,0.022689216855304117,,,,,
2020-05-06,32.83,36.54,31.75,35.42,5.762914302776956,4926418.0,925879960.0,32.01114771930178,2878.14,10883.219,2110.267,3936.254,718.629,452993854023809.8,0.05762914302776956,0.006313804988808069,0.015057202727271068,0.019732467652959773,0.006051510296155138,0.002600573409694995,0.02354829160394667,0.1338303412664037,0.1338303412664037,,,,,0.06482614955951482
2020-05-07,35.52,37.52,34.44,34.58,-2.371541501976293,4382631.0,873826359.0,28.477698875773694,2871.523,10863.285,2106.842,3924.895,713.751,440846134974353.8,-0.02371541501976293,-0.002299054250314292,-0.0018316272051493998,-0.0016230173717353136,-0.002885738572764862,-0.006787925341170564,-0.02681652066921314,-0.11038182306089328,-0.11038182306089328,,,,,0.013949015232983086
2020-05-08,35.34,37.66,34.44,36.31,5.002891844997115,4879201.0,981852074.0,31.70433852002915,2895.344,11001.579,2125.243,3963.622,726.893,455511424682819.94,0.05002891844997115,0.008295597841284863,0.012730403372460453,0.008733924992951447,0.009867015550734548,0.0184125836601281,0.033266231787014044,0.11330408606154618,0.11330408606154618,,,,,0.0573081283371466
2020-05-11,37.37,38.49,36.83,37.31,2.754062241806654,4052893.0,849834714.0,26.335109305285126,2894.802,10969.282,2102.825,3960.18,721.448,448355130951571.44,0.02754062241806654,-0.0001871970998955641,-0.002935669507077132,-0.010548440813591742,-0.000868397642358465,-0.007490786126706506,-0.015710459372630492,-0.16935313794205242,-0.16935313794205242,,,,,0.0006682523921233141
2020-05-12,36.95,37.45,35.72,36.77,-1.447333154650221,2855666.0,582020666.0,18.555702370969666,2891.556,11015.559,2124.15,3960.238,718.915,397683281693319.2,-0.01447333154650221,-0.001121320214646837,0.004218781138090932,0.010141119684234479,1.4645798928292209e-05,-0.0035109945553941646,-0.11301721729091918,-0.29540059409414465,-0.29540059409414454,,,,,-0.09427638562289486
2020-05-13,36.24,38.07,36.15,37.49,1.9581180310035418,3198309.0,663547532.0,20.78214675469527,2898.05,11074.593,2140.681,3968.253,720.516,384581331072444.1,0.019581180310035418,0.002245849639432862,0.0053591470028893085,0.007782407080479281,0.0020238682624631466,0.0022269670266998887,-0.03294569126740121,0.1199870713171638,0.1199870713171638,3.4760000000000004,,,,-0.09594397067073734
2020-05-14,36.95,37.99,36.05,36.13,-3.627634035742866,3123168.0,643739656.0,20.293891464385748,2870.342,10962.147,2117.647,3925.218,710.333,413083026686412.4,-0.03627634035742866,-0.00956091164748718,-0.010153510833310064,-0.010760127267911535,-0.010844822646136842,-0.014132926957902359,0.07411097032320413,-0.023493977598787352,-0.023493977598787352,3.3363636363636364,0.05341160446538207,,,-0.016100816073755242
