variable,same_day_correlation
broker_return,0.8376143139610244
sz_return,0.7361224643588663
cyb_return,0.7341586789959136
hs300_return,0.7212136136809143
sh_return,0.7135792579964396
stock_turnover_change,0.3188477145081264
stock_volume_change,0.31760126348170425
market_amount_change,0.2557228621504066
