variable,stock_return,sh_return,sz_return,cyb_return,hs300_return,broker_return,market_amount_change,stock_volume_change,stock_turnover_change
stock_return,1.0,0.7135792579964415,0.736122464358867,0.7341586789959155,0.7212136136809145,0.837614313961026,0.25572286215040635,0.31760126348170403,0.31884771450812593
sh_return,0.7135792579964415,1.0,0.9130889411796075,0.7978135349988085,0.9571770298240245,0.8097011478485745,0.2408041271945286,0.1858346069888869,0.1868720461935981
sz_return,0.736122464358867,0.9130889411796075,1.0,0.9444800476850859,0.9250367010654905,0.746746630516777,0.22542648831645967,0.1902219399017879,0.19110499727772243
cyb_return,0.7341586789959155,0.7978135349988085,0.9444800476850859,1.0,0.8239877244919986,0.6719759803947659,0.20784186857159292,0.2032340808020904,0.20420367039176082
hs300_return,0.7212136136809145,0.9571770298240245,0.9250367010654905,0.8239877244919986,1.0,0.7952114607852064,0.27032577728547047,0.2282552620799825,0.2292350337413611
broker_return,0.837614313961026,0.8097011478485745,0.746746630516777,0.6719759803947659,0.7952114607852064,1.0,0.29478321603178037,0.32058151013363484,0.3217419311080158
market_amount_change,0.25572286215040635,0.2408041271945286,0.22542648831645967,0.20784186857159292,0.27032577728547047,0.29478321603178037,1.0,0.5455306544737787,0.5461236833475469
stock_volume_change,0.31760126348170403,0.1858346069888869,0.1902219399017879,0.2032340808020904,0.2282552620799825,0.32058151013363484,0.5455306544737787,1.0,0.9992762359554245
stock_turnover_change,0.31884771450812593,0.1868720461935981,0.19110499727772243,0.20420367039176082,0.2292350337413611,0.3217419311080158,0.5461236833475469,0.9992762359554245,1.0
