model,total_return,annualized_return,max_drawdown,trade_count,win_rate,profit_loss_ratio,profit_factor,avg_holding_days,signal_win_rate
A,0.41942406637016894,0.03929534129683199,-0.2513888158306564,32,0.53125,1.656232825318619,1.8770638686944348,3.40625,0.47058823529411764
B,0.5044799653007461,0.045972462882204024,-0.05807378554935916,12,0.5833333333333334,8.10250460290358,11.343506444065014,3.25,0.3076923076923077
C,0.5669806166782256,0.05066802783888669,-0.05807378554935916,13,0.6153846153846154,7.713968473989397,12.342349558383034,3.5384615384615383,0.35714285714285715
D,0.4176807727458882,0.039154801318915355,-0.05807378554935927,13,0.5384615384615384,8.42874761774647,9.833538887370883,4.230769230769231,0.42857142857142855
