date,equity,position,return,drawdown,stock_buy_hold,hs300_buy_hold
2017-01-23,1.0,0,0.0,0.0,1.0,1.0
2017-01-24,1.0,0,0.0,0.0,0.9863013698630138,1.000109985461111
2017-01-25,1.0,0,0.0,0.0,0.9863013698630138,1.0035144813695032
2017-01-26,1.0,0,0.0,0.0,0.9885844748858448,1.0070985211117092
2017-02-03,1.0,0,0.0,0.0,0.9680365296803654,1.0001221730392342
2017-02-06,1.0,0,0.0,0.0,0.9771689497716896,1.0027121820193985
2017-02-07,1.0,0,0.0,0.0,0.9680365296803654,1.0004768018368166
2017-02-08,1.0,0,0.0,0.0,0.995433789954338,1.0057094344636768
2017-02-09,1.0,0,0.0,0.0,0.995433789954338,1.0095749775347265
2017-02-10,1.0,0,0.0,0.0,0.997716894977169,1.0146863288963612
2017-02-13,1.0,0,0.0,0.0,1.0410958904109588,1.0214602442687915
2017-02-14,1.0,0,0.0,0.0,1.0273972602739727,1.021320235749377
2017-02-15,1.0,0,0.0,0.0,1.0273972602739727,1.0171315732290631
2017-02-16,1.0,0,0.0,0.0,1.034246575342466,1.0228448720467789
2017-02-17,1.0,0,0.0,0.0,1.0319634703196345,1.0170510163102493
2017-02-20,1.0,0,0.0,0.0,1.038812785388128,1.0318993508182472
2017-02-21,1.0,0,0.0,0.0,1.0502283105022832,1.0352970097925702
2017-02-22,1.0,0,0.0,0.0,1.04337899543379,1.0373581967853924
2017-02-23,1.0,0,0.0,0.0,1.0365296803652968,1.0324733560220458
2017-02-24,1.0,0,0.0,0.0,1.0365296803652968,1.0326303082476314
2017-02-27,1.0,0,0.0,0.0,1.0205479452054793,1.0244173668826642
2017-02-28,1.0,0,0.0,0.0,1.0251141552511416,1.0263754053484442
2017-03-01,1.0,0,0.0,0.0,1.0319634703196345,1.0280483733893446
2017-03-02,1.0,0,0.0,0.0,1.0182648401826484,1.021109777083251
2017-03-03,1.0,0,0.0,0.0,1.0091324200913243,1.018959709947531
2017-03-06,1.0,0,0.0,0.0,1.0251141552511416,1.0244949512214478
2017-03-07,1.0,0,0.0,0.0,1.0205479452054793,1.0267163602778886
2017-03-08,1.0,0,0.0,0.0,1.0068493150684932,1.0251628899541956
2017-03-09,1.0,0,0.0,0.0,0.9885844748858448,1.0186865298427712
2017-03-10,1.0,0,0.0,0.0,0.9931506849315068,1.018968330429618
2017-03-13,1.0,0,0.0,0.0,0.9931506849315068,1.0279473056683237
2017-03-14,1.0,0,0.0,0.0,0.9863013698630138,1.0275296581741047
2017-03-15,1.0,0,0.0,0.0,0.9885844748858448,1.0295958985529776
2017-03-16,1.0,0,0.0,0.0,1.0,1.0349058182606186
2017-03-17,1.0,0,0.0,0.0,0.9863013698630138,1.0242931130374089
2017-03-20,1.0,0,0.0,0.0,0.9794520547945206,1.025425071512844
2017-03-21,1.0,0,0.0,0.0,0.9748858447488584,1.0303993869350947
2017-03-22,1.0,0,0.0,0.0,0.9589041095890412,1.0255549732601563
2017-03-23,1.0,0,0.0,0.0,0.9611872146118722,1.029100666719975
2017-03-24,1.0,0,0.0,0.0,0.9703196347031964,1.037311527278921
2017-03-27,1.0,0,0.0,0.0,0.9680365296803654,1.0338749275062045
2017-03-28,1.0,0,0.0,0.0,0.9680365296803654,1.0314284941414906
2017-03-29,1.0,0,0.0,0.0,0.9566210045662101,1.0300563511996292
2017-03-30,1.0,0,0.0,0.0,0.9269406392694063,1.0216038198842416
2017-03-31,1.0,0,0.0,0.0,0.9292237442922375,1.0273373322461616
2017-04-05,1.0,0,0.0,0.0,0.9383561643835617,1.0415602359158416
2017-04-06,1.0,0,0.0,0.0,0.9315068493150686,1.044578593678333
2017-04-07,1.0,0,0.0,0.0,0.9223744292237444,1.0455940270165909
2017-04-10,1.0,0,0.0,0.0,0.908675799086758,1.041930619387583
2017-04-11,1.0,0,0.0,0.0,0.9178082191780821,1.0455538971861855
2017-04-12,1.0,0,0.0,0.0,0.9178082191780821,1.0432088288004955
2017-04-13,1.0,0,0.0,0.0,0.9200913242009133,1.0447328705818915
2017-04-14,1.0,0,0.0,0.0,0.9292237442922375,1.0363915137596271
2017-04-17,1.0,0,0.0,0.0,0.908675799086758,1.034440609485919
2017-04-18,1.0,0,0.0,0.0,0.8721461187214612,1.0293280690922721
2017-04-19,1.0,0,0.0,0.0,0.8470319634703196,1.0243142183556222
2017-04-20,1.0,0,0.0,0.0,0.8515981735159818,1.0289728457786835
2017-04-21,1.0,0,0.0,0.0,0.8310502283105023,1.0305301804564158
2017-04-24,1.0,0,0.0,0.0,0.7968036529680366,1.0199691981257288
2017-04-25,1.0,0,0.0,0.0,0.7990867579908676,1.022857059624902
2017-04-26,1.0,0,0.0,0.0,0.8036529680365297,1.0241082185595412
