model,r2,mae,rmse,direction_accuracy,oos_samples,signal_win_rate,total_return,max_drawdown,trade_count,win_rate,profit_loss_ratio
A,0.5554207828639429,0.013123172054197621,0.018941507510012615,0.7899563318777293,2290,0.47058823529411764,0.41942406637016894,-0.2513888158306564,32,0.53125,1.656232825318619
B,0.7479536459391516,0.009867707787158926,0.0142619914560609,0.8358078602620087,2290,0.3076923076923077,0.5044799653007461,-0.05807378554935916,12,0.5833333333333334,8.10250460290358
C,0.7476283595025036,0.009872640532677827,0.014271191621910198,0.8349344978165939,2290,0.35714285714285715,0.5669806166782256,-0.05807378554935916,13,0.6153846153846154,7.713968473989397
D,0.7473564729612199,0.009714532482194189,0.014278876915788073,0.8414847161572052,2290,0.42857142857142855,0.4176807727458882,-0.05807378554935927,13,0.5384615384615384,8.42874761774647
