date,open,high,low,close,pct_change,volume,amount,turnover,sh_close,sz_close,cyb_close,hs300_close,broker_close,market_amount
2019-11-18,4.99,6.02,4.99,6.02,,1600.44,9634.6488,,2909.2,9715.274,1682.492,3907.929,686.561,222683502896491.03
2019-11-19,6.64,6.64,6.64,6.64,10.299003322259148,248.64,1650.9696,,2933.991,9889.754,1729.078,3947.039,692.295,263241149291866.8
2019-11-20,7.33,7.33,7.33,7.33,10.391566265060238,424.75,3113.4175,,2911.053,9809.048,1719.665,3907.864,681.075,266685093657702.16
2019-11-21,8.08,8.08,8.08,8.08,10.231923601637115,692.86,5598.3088,,2903.638,9774.442,1713.202,3889.598,681.403,233551028043094.88
2019-11-22,8.91,8.91,8.91,8.91,10.272277227722771,1566.72,13959.4752,226.1236036140057,2885.288,9626.902,1679.803,3849.995,679.233,286832373736164.5
2019-11-25,9.82,9.82,9.82,9.82,10.213243546576887,1176.89,11557.0598,125.88741810402462,2906.169,9626.355,1661.774,3878.206,682.863,269430307142357.03
2019-11-26,10.82,10.82,10.82,10.82,10.183299389002045,2421.2,26197.384,205.728657733518,2907.06,9677.234,1679.082,3891.653,683.299,259715124358661.6
2019-11-27,11.92,11.92,11.92,11.92,10.16635859519408,1985.78,23670.4976,144.75672562791357,2903.195,9648.393,1674.389,3875.619,677.446,234285480380463.5
2019-11-28,13.13,13.13,13.13,13.13,10.151006711409403,3004.06,39443.3078,191.741983251634,2889.693,9622.144,1673.795,3862.303,677.096,210399078851543.7
2019-11-29,14.46,14.46,14.46,14.46,10.129474485910128,6133.05,88683.903,387.2901905808359,2871.981,9582.156,1664.896,3828.671,680.028,212069057243150.03
2019-12-02,15.93,15.93,15.93,15.93,10.165975103734423,2649.47,42206.0571,165.54634975381768,2875.807,9605.188,1669.536,3836.059,684.911,215157292459856.3
2019-12-03,17.54,17.54,17.54,17.54,10.106716886377898,3049.03,53479.9862,170.04143638705935,2884.699,9657.653,1675.385,3851.087,689.476,222209619944829.2
2019-12-04,19.31,19.31,19.31,19.31,10.091220068415051,5266.67,101699.3977,265.21920857295373,2878.116,9687.951,1673.779,3849.819,687.418,231913226296068.44
2019-12-05,21.26,21.26,21.26,21.26,10.098394614189557,33910.61,720939.5686000001,1538.9500292717464,2899.469,9799.069,1709.826,3879.364,698.261,266422846298478.56
2019-12-06,23.41,23.41,23.41,23.41,10.11288805268109,27425.92,642040.7872,1132.7407896910622,2912.014,9878.623,1726.801,3902.385,701.25,264666862150500.75
2019-12-09,25.31,25.77,24.67,25.77,10.081161896625378,318547.67,8208973.455899999,12564.322663474451,2914.478,9876.269,1721.071,3895.447,700.128,298573074985076.6
2019-12-10,26.51,28.36,25.0,27.33,6.053550640279393,441749.76,12073020.9408,16673.13689152925,2917.316,9915.866,1734.022,3900.384,698.722,306474141261103.06
2019-12-11,26.61,30.02,26.61,27.61,1.0245151847786405,355763.92,9822641.8312,12585.549913063163,2924.417,9852.714,1718.26,3902.749,699.6,313917558493070.8
2019-12-12,27.27,28.7,26.79,27.8,0.6881564650488947,279525.81,7770817.518,9304.934322217268,2915.698,9836.234,1720.986,3891.024,695.595,295716676071697.4
2019-12-13,29.26,30.3,27.89,28.41,2.194244604316542,348890.61,9911982.2301,11527.686190028564,2967.676,10004.624,1755.413,3968.221,721.754,357053709871012.2
2019-12-16,27.04,28.55,26.38,28.4,-0.0351988736360442,263963.56,7496565.103999999,8657.296254874502,2984.393,10158.241,1780.333,3987.546,733.708,421074267369741.5
2019-12-17,28.16,31.26,27.93,29.35,3.3450704225352235,331318.06,9724185.061,7968.49477494378,3022.422,10306.031,1801.616,4041.8,754.234,526374403288326.3
2019-12-18,30.13,31.17,29.75,30.71,4.63373083475298,286623.49,8802207.3779,5442.214720117266,3017.044,10294.66,1792.418,4032.783,756.521,464616729851675.7
2019-12-19,29.81,30.04,28.23,28.44,-7.391729078476061,224449.81,6383352.5964,3937.812683118532,3017.066,10296.291,1790.438,4027.15,752.839,420828082362747.8
2019-12-20,28.78,29.33,26.71,26.84,-5.625879043600568,206897.12,5553118.7008,3373.4784487326856,3004.938,10229.486,1771.707,4017.253,755.754,417842854157750.9
2019-12-23,26.56,29.54,26.56,29.54,10.059612518628905,247021.27,7297008.315799999,1472.1624054611923,2962.751,10056.208,1736.624,3967.096,736.573,371121522009190.3
