datetime,open,high,low,close,volume,amount,symbol,name,theoretical_center,deviation_pct,price_zone,reference_daily_date,risk_level
2026-05-06 14:55:00,246.29,246.38,246.11,246.11,447877,110276004.8642,300033,同花顺,244.76175644360154,0.005508391408807212,中性区,2026-07-02,中
2026-05-06 15:00:00,246.11,246.3,246.1,246.15,604478,148805249.8549,300033,同花顺,244.76175644360154,0.005671815632350752,中性区,2026-07-02,中
2026-05-07 09:35:00,249.27,252.0,247.55,248.09,2611799,652674881.729,300033,同花顺,244.76175644360154,0.013597890474222663,中性区,2026-07-02,中
2026-05-07 09:40:00,248.29,248.39,245.9,246.34,1268263,313139974.8503,300033,同花顺,244.76175644360154,0.006448080694183567,中性区,2026-07-02,中
2026-05-07 09:45:00,246.45,247.0,244.8,244.97,1057140,259521748.5746,300033,同花顺,244.76175644360154,0.0008508010378101005,中性区,2026-07-02,中
2026-05-07 09:50:00,244.97,245.9,244.5,244.51,765827,187652286.8521,300033,同花顺,244.76175644360154,-0.0010285775329429425,中性区,2026-07-02,中
2026-05-07 09:55:00,244.5,245.3,244.45,244.91,542953,132925207.457,300033,同花顺,244.76175644360154,0.0006056647024945683,中性区,2026-07-02,中
2026-05-07 10:00:00,244.99,245.99,244.79,245.6,486240,119230022.1871,300033,同花顺,244.76175644360154,0.0034247325586242994,中性区,2026-07-02,中
2026-05-07 10:05:00,245.5,247.02,245.0,246.09,496195,122136476.7744,300033,同花顺,244.76175644360154,0.0054266792970352196,中性区,2026-07-02,中
2026-05-07 10:10:00,246.05,247.0,246.01,246.07,305050,75212352.2792,300033,同花顺,244.76175644360154,0.0053449671852632274,中性区,2026-07-02,中
2026-05-07 10:15:00,246.06,246.67,245.17,245.19,302565,74374922.5986,300033,同花顺,244.76175644360154,0.0017496342673009035,中性区,2026-07-02,中
2026-05-07 10:20:00,245.19,245.46,244.68,245.05,266300,65233736.498,300033,同花顺,244.76175644360154,0.0011776494848976249,中性区,2026-07-02,中
2026-05-07 10:25:00,245.05,245.05,244.0,244.13,528350,129080321.5881,300033,同花顺,244.76175644360154,-0.0025811076566085722,中性区,2026-07-02,中
2026-05-07 10:30:00,244.14,244.14,243.55,243.87,355638,86731875.2424,300033,同花顺,244.76175644360154,-0.0036433651096429154,中性区,2026-07-02,中
2026-05-07 10:35:00,243.87,244.21,243.38,243.39,307436,74954454.4341,300033,同花顺,244.76175644360154,-0.0056044557921679505,中性区,2026-07-02,中
2026-05-07 10:40:00,243.38,244.21,243.18,243.83,292520,71230342.4346,300033,同花顺,244.76175644360154,-0.0038067893331866776,中性区,2026-07-02,中
2026-05-07 10:45:00,243.83,243.86,242.98,243.1,416760,101339262.043,300033,同花顺,244.76175644360154,-0.006789281412860171,中性区,2026-07-02,中
2026-05-07 10:50:00,243.12,243.7,243.06,243.69,203160,49448058.168,300033,同花顺,244.76175644360154,-0.004378774115589845,中性区,2026-07-02,中
2026-05-07 10:55:00,243.69,243.77,243.25,243.65,186000,45297688.9937,300033,同花顺,244.76175644360154,-0.004542198339133496,中性区,2026-07-02,中
2026-05-07 11:00:00,243.64,243.69,243.05,243.06,177900,43300799.696,300033,同花顺,244.76175644360154,-0.006952705636403822,中性区,2026-07-02,中
2026-05-07 11:05:00,243.05,243.15,242.8,243.0,329639,80081793.5623,300033,同花顺,244.76175644360154,-0.007197841971719465,中性区,2026-07-02,中
2026-05-07 11:10:00,243.0,243.17,242.65,242.66,180575,43868411.1069,300033,同花顺,244.76175644360154,-0.008586947871841444,中性区,2026-07-02,中
2026-05-07 11:15:00,242.66,242.66,242.27,242.46,290800,70500151.7339,300033,同花顺,244.76175644360154,-0.009404068989560144,中性区,2026-07-02,中
2026-05-07 11:20:00,242.45,243.16,242.4,242.99,250520,60833065.6133,300033,同花顺,244.76175644360154,-0.00723869802760535,中性区,2026-07-02,中
2026-05-07 11:25:00,242.98,243.4,242.6,242.88,254449,61823525.2425,300033,同花顺,244.76175644360154,-0.007688114642350752,中性区,2026-07-02,中
2026-05-07 11:30:00,242.89,243.61,242.71,243.61,149124,36276493.0508,300033,同花顺,244.76175644360154,-0.0047056225626772585,中性区,2026-07-02,中
