variable,lag_days,correlation
sh_return,0,0.6030551311333766
sh_return,1,0.007576594480071895
sh_return,2,0.037898488575938555
sh_return,3,0.029464680390332707
sh_return,5,-0.020801854123766506
sh_return,10,-0.007676848053183837
sz_return,0,0.6203600579733368
sz_return,1,0.011051557452673487
sz_return,2,0.0379261298306837
sz_return,3,0.029862418384568174
sz_return,5,-0.01428389266253332
sz_return,10,-0.006912793553662498
cyb_return,0,0.6035485693011786
cyb_return,1,0.014682016239670767
cyb_return,2,0.036696255991664345
cyb_return,3,0.01678878285535291
cyb_return,5,-0.021577785893055507
cyb_return,10,-0.009125275334260191
hs300_return,0,0.5980029442797022
hs300_return,1,0.011109562140164567
hs300_return,2,0.03977228983756512
hs300_return,3,0.03388263945236628
hs300_return,5,-0.02147993000819449
hs300_return,10,-0.011907033450874056
broker_return,0,0.7394173746352981
broker_return,1,0.010781587838741055
broker_return,2,0.042385433570264225
broker_return,3,0.04697199549836741
broker_return,5,-0.012630570930185847
broker_return,10,0.019401612968549115
market_amount_change,0,0.26887863619941726
market_amount_change,1,0.004752564726068137
market_amount_change,2,0.02886582093634161
market_amount_change,3,-0.01569889894572568
market_amount_change,5,-0.018645525014859932
market_amount_change,10,0.008865233278805663
stock_volume_change,0,0.33449506038569066
stock_volume_change,1,-0.03672992187503092
stock_volume_change,2,0.0016959668107048836
stock_volume_change,3,0.030486928036532173
stock_volume_change,5,-0.00026649926146999383
stock_volume_change,10,0.010413618113844919
stock_turnover_change,0,0.33387419817989483
stock_turnover_change,1,-0.037155389455910445
stock_turnover_change,2,0.001413632838727262
stock_turnover_change,3,0.030972044628882325
stock_turnover_change,5,-0.00025091120440059257
stock_turnover_change,10,0.011107908626351163
