date,equity,position,return,drawdown,stock_buy_hold,hs300_buy_hold
2017-07-20,1.0,0,0.0,0.0,1.0,1.0
2017-07-21,1.0,0,0.0,0.0,1.0116354234001292,0.9948541630423994
2017-07-24,1.0,0,0.0,0.0,1.0035552682611506,0.9988220019616403
2017-07-25,1.0,0,0.0,0.0,0.9909502262443438,0.992442402166129
2017-07-26,1.0,0,0.0,0.0,0.9835164835164835,0.9886613353028002
2017-07-27,1.0,0,0.0,0.0,1.0475113122171944,0.9904775601379339
2017-07-28,1.0,0,0.0,0.0,1.0248868778280542,0.9930646199295389
2017-07-31,1.0,0,0.0,0.0,1.015513897866839,0.9973288927832344
2017-08-01,1.0,0,0.0,0.0,1.0258564964447316,1.006003120694237
2017-08-02,1.0,0,0.0,0.0,1.035552682611506,1.0034603525616055
2017-08-03,1.0,0,0.0,0.0,1.0636716224951517,0.9946481801464506
2017-08-04,1.0,0,0.0,0.0,1.077246283128636,0.9892461986550277
2017-08-07,1.0,0,0.0,0.0,1.074983839689722,0.9943730915898145
2017-08-08,1.0,0,0.0,0.0,1.107627666451196,0.9958187073025739
2017-08-09,1.0,0,0.0,0.0,1.0959922430510665,0.9955067979692007
2017-08-10,1.0,0,0.0,0.0,1.0782159017453135,0.9914717211098315
2017-08-11,1.0,0,0.0,0.0,1.0665804783451842,0.9731757973299067
2017-08-14,1.0,0,0.0,0.0,1.0995475113122173,0.985805056933459
2017-08-15,1.0,0,0.0,0.0,1.103425985778927,0.9888398360248075
2017-08-16,1.0,0,0.0,0.0,1.1693600517129927,0.9876028713802241
2017-08-17,1.0,0,0.0,0.0,1.1900452488687783,0.9929007941547817
2017-08-18,1.0,0,0.0,0.0,1.1638655462184873,0.9938074390776236
2017-08-21,1.0,0,0.0,0.0,1.161279896574014,0.9981616293353797
2017-08-22,1.0,0,0.0,0.0,1.1638655462184873,1.001177731221137
2017-08-23,1.0,0,0.0,0.0,1.1354234001292824,1.0021889684952896
2017-08-24,1.0,0,0.0,0.0,1.1228183581124758,0.9964678736054798
2017-08-25,1.0,0,0.0,0.0,1.1648351648351647,1.012772540452159
2017-08-28,1.0,0,0.0,0.0,1.2320620555914672,1.0253017435971872
2017-08-29,1.0,0,0.0,0.0,1.2188106011635422,1.0231207796185795
2017-08-30,1.0,0,0.0,0.0,1.2349709114414997,1.023057543936792
2017-08-31,1.0,0,0.0,0.0,1.2349709114414997,1.0198002392816854
2017-09-01,1.0,0,0.0,0.0,1.273109243697479,1.0220535107276532
2017-09-04,1.0,0,0.0,0.0,1.3047834518422752,1.0260765808119996
2017-09-05,1.0,0,0.0,0.0,1.2957336780866193,1.0291263016678212
2017-09-06,1.0,0,0.0,0.0,1.29928894634777,1.0270995580439521
2017-09-07,1.0,0,0.0,0.0,1.3212669683257918,1.0218755436400913
2017-09-08,1.0,0,0.0,0.0,1.3209437621202327,1.02084002599867
2017-09-11,1.0,0,0.0,0.0,1.3025210084033612,1.0207479740568277
2017-09-12,1.0,0,0.0,0.0,1.2967032967032965,1.0240268909069759
2017-09-13,1.0,0,0.0,0.0,1.2847446670976082,1.0252734609715777
2017-09-14,1.0,0,0.0,0.0,1.2449903038138332,1.0218979562868007
2017-09-15,1.0,0,0.0,0.0,1.2372333548804137,1.0222560249997066
2017-09-18,1.0,0,0.0,0.0,1.290885585003232,1.0254167418201845
2017-09-19,1.0,0,0.0,0.0,1.2653522947640594,1.0224745483051236
2017-09-20,1.0,0,0.0,0.0,1.2740788623141563,1.0252278352264905
2017-09-21,1.0,0,0.0,0.0,1.2343244990303812,1.023995940109139
2017-09-22,1.0,0,0.0,0.0,1.2453135100193924,1.0239724601935385
2017-09-25,1.0,0,0.0,0.0,1.231738849385908,1.018652658406717
2017-09-26,1.0,0,0.0,0.0,1.2617970265029088,1.0194504419026844
2017-09-27,1.0,0,0.0,0.0,1.2747252747252746,1.019561971501786
2017-09-28,1.0,0,0.0,0.0,1.2721396250808015,1.0199192397630237
2017-09-29,1.0,0,0.0,0.0,1.2821590174531352,1.0236445418268014
2017-10-09,1.0,0,0.0,0.0,1.2844214608920492,1.0358399566261922
2017-10-10,1.0,0,0.0,0.0,1.3025210084033612,1.037882709283425
2017-10-11,1.0,0,0.0,0.0,1.2866839043309632,1.0413041065305115
2017-10-12,1.0,0,0.0,0.0,1.2934712346477053,1.0440435189562964
2017-10-13,1.0,0,0.0,0.0,1.3316095669036845,1.0461908639648398
2017-10-16,1.0,0,0.0,0.0,1.2669683257918551,1.0441747930298804
2017-10-17,1.0,0,0.0,0.0,1.2304460245636715,1.0440742029369106
2017-10-18,1.0,0,0.0,0.0,1.2175177763413059,1.0523706176605252
2017-10-19,1.0,0,0.0,0.0,1.2058823529411764,1.0489252068633927
2017-10-20,1.0,0,0.0,0.0,1.2246283128636068,1.0477517447178195
2017-10-23,1.0,0,0.0,0.0,1.231738849385908,1.0488046054787181
2017-10-24,1.0,0,0.0,0.0,1.2394957983193278,1.056434777597172
2017-10-25,1.0,0,0.0,0.0,1.2365869424692952,1.0611184871250017
2017-10-26,1.0,0,0.0,0.0,1.2323852617970266,1.0655545902701364
2017-10-27,1.0,0,0.0,0.0,1.2233354880413705,1.0731303316751533
2017-10-30,1.0,0,0.0,0.0,1.1512605042016806,1.0698628879655827
2017-10-31,1.0,0,0.0,0.0,1.156755009696186,1.0690613690284971
2017-11-01,1.0,0,0.0,0.0,1.1590174531351,1.0663675823477994
2017-11-02,1.0,0,0.0,0.0,1.1616031027795732,1.066504192765838
2017-11-03,1.0,0,0.0,0.0,1.1441499676793794,1.0653205915658008
2017-11-06,1.0,0,0.0,0.0,1.1286360698125404,1.0728427027090486
2017-11-07,1.0,0,0.0,0.0,1.1422107304460247,1.0817429248077048
2017-11-08,1.0,0,0.0,0.0,1.180672268907563,1.0800777185206372
2017-11-09,1.0,0,0.0,0.0,1.1551389786683905,1.087520318131511
2017-11-10,1.0117515388919978,1,0.01175153889199776,0.0,1.1687136393018744,1.0971286731392969
2017-11-13,1.0111919418019026,0,-0.0005530973451327581,-0.0005530973451327581,1.1680672268907564,1.101440973093084
2017-11-14,1.0111919418019026,0,0.0,-0.0005530973451327581,1.1467356173238525,1.0937774488217884
2017-11-15,1.0111919418019026,0,0.0,-0.0005530973451327581,1.1354234001292824,1.0869253157248198
2017-11-16,1.0111919418019026,0,0.0,-0.0005530973451327581,1.132191338073691,1.0952879011196717
2017-11-17,1.0111919418019026,0,0.0,-0.0005530973451327581,1.0976082740788622,1.0995140191105166
2017-11-20,1.0111919418019026,0,0.0,-0.0005530973451327581,1.0672268907563025,1.1056460125233332
2017-11-21,1.0353919307150654,1,0.02393214177521963,0.0,1.0924369747899159,1.1253555339492898
2017-11-22,1.0243640876660292,1,-0.010650887573964596,-0.010650887573964596,1.0808015513897866,1.1279876858515365
2017-11-23,0.9906679005717521,1,-0.03289473684210498,-0.04319526627218917,1.0452488687782806,1.0945901740822288
2017-11-24,0.9876046108359087,0,-0.0030921459492888603,-0.04615384615384599,1.0381383322559792,1.095072045986482
2017-11-27,0.9876046108359087,0,0.0,-0.04615384615384599,1.031027795733678,1.0805958775671818
2017-11-28,0.9876046108359087,0,0.0,-0.04615384615384599,1.0497737556561084,1.0821636955679526
2017-11-29,0.9876046108359087,0,0.0,-0.04615384615384599,1.040077569489334,1.0816111170996754
2017-11-30,0.9876046108359087,0,0.0,-0.04615384615384599,1.0255332902391725,1.0688962091676264
2017-12-01,0.9876046108359087,0,0.0,-0.04615384615384599,1.0565610859728505,1.0667718104402377
2017-12-04,0.9876046108359087,0,0.0,-0.04615384615384599,1.0442792501616032,1.0723002632952354
2017-12-05,0.9876046108359087,0,0.0,-0.04615384615384599,1.0193923723335487,1.0779869387633128
2017-12-06,0.9876046108359087,0,0.0,-0.04615384615384599,1.0339366515837103,1.0714902062070224
2017-12-07,0.9876046108359087,0,0.0,-0.04615384615384599,1.0277957336780865,1.0595464000486674
2017-12-08,0.9876046108359087,0,0.0,-0.04615384615384599,1.037168713639302,1.0681704663217966
2017-12-11,0.9876046108359087,0,0.0,-0.04615384615384599,1.0591467356173239,1.085812687906029
2017-12-12,0.9876046108359087,0,0.0,-0.04615384615384599,1.035552682611506,1.0715422355654551
2017-12-13,0.9876046108359087,0,0.0,-0.04615384615384599,1.0361990950226245,1.0806345660644778
2017-12-14,0.9876046108359087,0,0.0,-0.04615384615384599,1.026826115061409,1.074246694935062
2017-12-15,0.9876046108359087,0,0.0,-0.04615384615384599,1.02650290885585,1.062160942014214
2017-12-18,0.9876046108359087,0,0.0,-0.04615384615384599,1.0197155785391079,1.0633442763970284
2017-12-19,0.9876046108359087,0,0.0,-0.04615384615384599,1.0442792501616032,1.0766952765880695
2017-12-20,0.9876046108359087,0,0.0,-0.04615384615384599,1.0297349709114414,1.0754041480472714
2017-12-21,0.9876046108359087,0,0.0,-0.04615384615384599,1.0407239819004526,1.0853721726712993
2017-12-22,0.9876046108359087,0,0.0,-0.04615384615384599,1.040077569489334,1.0818365776528835
2017-12-25,0.9876046108359087,0,0.0,-0.04615384615384599,1.0255332902391725,1.078352478358455
2017-12-26,0.9876046108359087,0,0.0,-0.04615384615384599,1.031027795733678,1.0815761640434975
2017-12-27,0.9876046108359087,0,0.0,-0.04615384615384599,1.021978021978022,1.0649230339039308
2017-12-28,0.9876046108359087,0,0.0,-0.04615384615384599,1.02650290885585,1.0723109359841447
2017-12-29,0.9876046108359087,0,0.0,-0.04615384615384599,1.0255332902391725,1.0755015363335685
2018-01-02,0.9876046108359087,0,0.0,-0.04615384615384599,1.0116354234001292,1.0905889830101465
