model,variable,coefficient
A,intercept,0.0011160652785979067
A,sh_return,1.8019997437235566
A,sz_return,-0.30820149804974756
A,cyb_return,1.0779963212852852
A,hs300_return,-0.28652428199849583
B,intercept,0.001307381131425471
B,sh_return,0.018857096655955176
B,sz_return,0.31152359681630076
B,cyb_return,0.736824123171103
B,hs300_return,-0.9535293900784801
B,broker_return,1.5456144313878903
C,intercept,0.0011357663898512631
C,sh_return,0.09878567858664179
C,sz_return,0.36399998715890436
C,cyb_return,0.718926155825765
C,hs300_return,-1.0746541889503782
C,broker_return,1.5032028241329076
C,market_amount_change,0.02196161896070204
D,intercept,0.0002452175033732303
D,sh_return,0.3074146292324576
D,sz_return,0.42617972723486985
D,cyb_return,0.6600698385111756
D,hs300_return,-1.1972282359465107
D,broker_return,1.4162948516726817
D,market_amount_change,0.0038140921538477052
D,stock_volume_change,0.07044891483002057
D,stock_turnover_change,-0.06124881804481779
