model,total_return,annualized_return,max_drawdown,trade_count,win_rate,profit_loss_ratio,profit_factor,avg_holding_days,signal_win_rate
A,0.2865225610390336,0.029648509489793806,-0.25451128166660797,31,0.5161290322580645,1.5046875764424004,1.6050000815385603,3.7419354838709675,0.42424242424242425
B,0.5225854548545088,0.04996243391715516,-0.05807378554935916,11,0.6363636363636364,9.07727890394874,15.885238081910295,3.4545454545454546,0.3333333333333333
C,0.5782898007638209,0.05434674379738991,-0.05807378554935916,11,0.6363636363636364,9.833460690391862,17.208556208185758,3.6363636363636362,0.38461538461538464
D,0.3446348243911326,0.03493739807440144,-0.05807378554935916,11,0.5454545454545454,6.271179239322221,7.525415087186666,3.272727272727273,0.3333333333333333
