variable,same_day_correlation
broker_return,0.8387406768493428
sz_return,0.7180015968285941
hs300_return,0.7124738248776752
cyb_return,0.712398185626849
sh_return,0.7018198407365601
stock_turnover_change,0.31479082100732375
stock_volume_change,0.3146462817161695
market_amount_change,0.24930425389974328
