model,variable,coefficient
A,intercept,0.0004190931594509566
A,sh_return,0.9940736957922219
A,sz_return,-0.93098373873311
A,cyb_return,1.0810553878450906
A,hs300_return,0.7047984043368181
B,intercept,0.0006020504704919961
B,sh_return,-0.40691693732156026
B,sz_return,-0.4573477976806627
B,cyb_return,0.82314700252656
B,hs300_return,0.208494595239085
B,broker_return,1.2031204673008558
C,intercept,0.0005986278600040079
C,sh_return,-0.40480154333609447
C,sz_return,-0.45634940539491836
C,cyb_return,0.8229295216897169
C,hs300_return,0.20554904615589198
C,broker_return,1.2022292031541455
C,market_amount_change,0.0004695633681601895
D,intercept,0.00040207894323643134
D,sh_return,-0.35274175309191685
D,sz_return,-0.4299444353142758
D,cyb_return,0.8059958251352028
D,hs300_return,0.17154897248964127
D,broker_return,1.177083088660237
D,market_amount_change,-0.004553772513407925
D,stock_volume_change,0.006332215537532063
D,stock_turnover_change,-0.0038528055601431406
