date,open,high,low,close,pct_change,volume,amount,turnover,sh_close,sz_close,cyb_close,hs300_close,broker_close,market_amount,stock_return,sh_return,sz_return,cyb_return,hs300_return,broker_return,market_amount_change,stock_volume_change,stock_turnover_change,atr20,volatility20,broker_trend20,market_trend20,amount_trend5,theoretical_return,theoretical_price,deviation_pct,deviation_level,buy_signal,strong_buy_signal,sell_signal,strong_sell_signal,band_pct,buy_zone_1,sell_zone_1,buy_zone_2,sell_zone_2,buy_zone_3,sell_zone_3,stop_loss_price,risk_level,volume_filter_ok
2017-02-03,4.06,4.07,3.94,3.96,-2.2222222222222143,299176.23,1184737.8708,58.67118562207199,3140.17,10004.845,1876.761,3364.492,838.344,127793047381769.94,-0.022222222222222143,-0.006012979374936278,-0.004696057023194311,-0.005021121473922641,-0.006927175371853389,-0.007891012198643188,-0.088822950389562,0.2949303043176501,0.33635073816809835,0.11700000000000003,0.020860751715350883,-0.006147030831890499,0.004978246029953004,-0.15054865502714987,-0.00921934135290868,4.012661667520719,-0.013123874346789077,合理,False,False,False,False,0.02915770371248124,3.924911667520719,4.100411667520719,3.866411667520719,4.158911667520719,3.8079116675207194,4.217411667520719,3.726,中,True
2017-02-06,3.96,4.04,3.94,4.01,1.262626262626254,276605.48,1109187.9748,55.09999020829226,3156.984,10078.733,1900.447,3373.205,839.0,166895531786161.12,0.012626262626262541,0.005354487177445799,0.007385221860009006,0.012620679990686057,0.0025896925895498857,0.000782495013979867,0.3059828778288394,-0.07544299224574091,-0.060867960582617786,0.11950000000000005,0.021188155185101806,-0.005115945198845506,0.006631817378661475,0.12084787889614734,0.012945651026669466,4.011264778065611,-0.0003153065518205489,合理,False,False,False,False,0.029791102460612843,3.921639778065611,4.100889778065611,3.8618897780656107,4.160639778065611,3.8021397780656105,4.22038977806561,3.7709999999999995,低,True
2017-02-07,3.98,4.0,3.93,3.96,-1.2468827930174564,250390.68,991547.0928,49.8779851225205,3153.088,10055.565,1889.134,3365.685,834.174,181567970449359.4,-0.012468827930174564,-0.001234089244671388,-0.0022987016324372833,-0.005952810049425161,-0.0022293338234705695,-0.005752085816448149,0.08791390941488886,-0.0947732488886337,-0.0947732488886337,0.12000000000000002,0.021045168802750678,-0.009849526740919878,0.004036269446745067,0.19075811484637195,-0.011731377844460197,3.9629571748437145,-0.0007462040878175591,合理,False,False,False,False,0.030280418057944927,3.8729571748437146,4.052957174843715,3.8129571748437145,4.112957174843715,3.752957174843714,4.172957174843714,3.7199999999999998,低,True
2017-02-08,3.95,4.1,3.93,4.08,3.030303030303028,545943.04,2227447.6032,107.06440628293991,3166.982,10130.121,1903.628,3383.288,848.814,199215481552250.0,0.030303030303030276,0.00440647390748361,0.007414401875976084,0.0076722985240855746,0.005230138887031943,0.01755029526213958,0.09719506727544003,1.1803648602256285,1.1465262885007572,0.12299999999999997,0.022114270155650703,0.007875859479629765,0.009062115594376197,0.221098296926173,0.01821098851598385,4.032115514523296,0.011875772235251825,合理,False,False,False,False,0.03050507842768038,3.939865514523296,4.124365514523296,3.878365514523296,4.185865514523296,3.816865514523296,4.247365514523296,3.834,低,True
2017-02-09,4.05,4.13,4.05,4.09,0.2450980392156854,435022.75,1779243.0475,86.65681267552752,3183.179,10182.729,1914.082,3396.292,848.482,238591451900293.3,0.002450980392156854,0.005114332825383983,0.005193225233933507,0.005491619160886474,0.003843598298459927,-0.00039113398223877827,0.19765517238536412,-0.20317190965563003,-0.1906104401632891,0.12350000000000001,0.022160289766988733,0.0075785527160012744,0.012510178079593537,0.3051142306822967,0.0033054880576603575,4.093486391275254,-0.0008516924064253528,合理,False,False,False,False,0.03016988165961039,4.000861391275254,4.186111391275254,3.9391113912752544,4.247861391275254,3.877361391275254,4.309611391275254,3.8429999999999995,低,True
2017-02-10,4.08,4.16,4.07,4.09,0.0,480470.55,1965124.5495,97.48661168592004,3196.699,10186.376,1904.685,3413.487,852.758,268991321735236.75,0.0,0.004247326336344948,0.00035815546107542673,-0.00490940304542864,0.005062874452491206,0.005039588347189428,0.12741391023366355,0.10447223737149369,0.1249734288167621,0.12449999999999999,0.02213630321016747,0.011956760688859758,0.016638944895412733,0.27452416352152254,-0.006080216147203034,4.06513191595794,0.006117411330352818,合理,False,False,False,False,0.030626312398686777,3.97175691595794,4.15850691595794,3.90950691595794,4.22075691595794,3.8472569159579395,4.28300691595794,3.8409999999999997,低,True
2017-02-13,4.09,4.4,4.07,4.29,4.88997555012225,958608.33,4112429.7357,194.4999085284172,3216.839,10270.825,1913.681,3436.275,857.497,257661941603235.7,0.0488997555012225,0.006300249100712918,0.008290387081725692,0.0047230906947868245,0.006675871330402039,0.005557262435532673,-0.042118013543769095,0.9951448220915933,0.9951448220915935,0.13799999999999996,0.025019203636386354,0.016762831621470076,0.022324078198022512,0.12415187064591593,0.005734954732775046,4.1134559648570495,0.04291866417222878,偏贵,False,False,True,False,0.03354843255379196,4.009955964857049,4.216955964857049,3.9409559648570496,4.285955964857049,3.8719559648570496,4.35495596485705,4.014,低,True
2017-02-14,4.25,4.27,4.2,4.23,-1.3986013986013843,440099.68,1861621.6464,90.70463257708197,3217.928,10264.918,1909.395,3435.804,856.253,227012219357944.9,-0.013986013986013845,0.0003385310859511659,-0.0005751241988838363,-0.002239662723306557,-0.00013706702752258604,-0.0014507339384276507,-0.11895323793099088,-0.5408972922236134,-0.5336520553487578,0.141,0.025183185068178144,0.014613403431567695,0.021006399171998424,-0.04734588782304072,-0.004821316258100031,4.269316553252751,-0.009209097700379143,合理,False,False,False,False,0.03302636340998735,4.1635665532527515,4.375066553252751,4.0930665532527515,4.445566553252751,4.022566553252751,4.5160665532527515,3.9480000000000004,低,False
2017-02-15,4.22,4.4,4.22,4.23,0.0,711376.47,3009122.4681,146.61483356527677,3212.986,10177.252,1892.357,3421.713,850.492,265528035746716.5,0.0,-0.0015357708438473727,-0.00854035073636239,-0.008923245321161954,-0.004101223469091919,-0.006728151609395883,0.1696640669727174,0.6163985168087376,0.6163985168087374,0.14400000000000002,0.025009575984137344,0.0072745328579773005,0.015503019097079518,0.055538275649042124,-0.016468276655894117,4.160339189745568,0.01674402183988577,合理,False,False,False,False,0.03461256244561313,4.0523391897455685,4.268339189745568,3.9803391897455684,4.340339189745569,3.908339189745568,4.412339189745568,3.9420000000000006,低,True
2017-02-16,4.22,4.29,4.17,4.26,0.7092198581560183,396382.77,1688590.6002,82.86597317960901,3229.618,10253.957,1897.63,3440.933,858.231,238942678874221.28,0.007092198581560183,0.005176493143761007,0.0075369068192474575,0.002786472108592619,0.0056170695788921865,0.009099438913005686,-0.10012259834533865,-0.4427946569556904,-0.43480498415793034,0.14750000000000002,0.025062418944662677,0.01547442163561552,0.019341983422765052,-0.050410124978107596,0.005947803539173402,4.255159208970704,0.001137628650672129,合理,False,False,False,False,0.03466380286994698,4.144534208970704,4.3657842089707035,4.070784208970704,4.439534208970704,3.9970342089707036,4.513284208970704,3.9649999999999994,低,False
