model,total_return,annualized_return,max_drawdown,trade_count,win_rate,profit_loss_ratio,profit_factor,avg_holding_days,signal_win_rate
A,1.1000725238505873,0.1483160142066342,-0.3078468823266428,80,0.55,1.345081356063838,1.643988324078024,4.675,0.4444444444444444
B,0.8621147493779233,0.12286267094753689,-0.2677793885662093,61,0.5245901639344263,1.4521526209211058,1.602375305843979,4.672131147540983,0.43037974683544306
C,1.5455270452554553,0.1902361169274871,-0.21742699483832928,64,0.5,1.8708323364385755,1.8708323364385755,4.59375,0.43373493975903615
D,1.0621766404772166,0.14442507533759663,-0.33643036257833525,67,0.5223880597014925,1.5822086060575005,1.730540662875391,4.776119402985074,0.3670886075949367
