variable,lag_days,correlation
sh_return,0,0.5380991512511506
sh_return,1,0.0016576985495538683
sh_return,2,0.06804900133949913
sh_return,3,0.0006091955597724339
sh_return,5,-0.043228637200445966
sh_return,10,-0.00658523107498157
sz_return,0,0.5527133197204193
sz_return,1,0.0041815540316464195
sz_return,2,0.0495283019685245
sz_return,3,-0.0005517031282925368
sz_return,5,-0.03540573071430179
sz_return,10,-0.015257822733440115
cyb_return,0,0.5140470160602282
cyb_return,1,0.009026124746172438
cyb_return,2,0.04596777157453469
cyb_return,3,-0.016570116609244963
cyb_return,5,-0.03390213153079408
cyb_return,10,-0.0069414320771285275
hs300_return,0,0.5273741233101347
hs300_return,1,-0.0015507868396606214
hs300_return,2,0.06231716468034255
hs300_return,3,0.007690708997600284
hs300_return,5,-0.03293294879857105
hs300_return,10,-0.009133453078860067
broker_return,0,0.6957869427383976
broker_return,1,-0.0048430406883689025
broker_return,2,0.07794397409484256
broker_return,3,0.016875151691510187
broker_return,5,-0.02564289796285503
broker_return,10,-0.009609523686010979
market_amount_change,0,0.24821374007198993
market_amount_change,1,0.01770991344548035
market_amount_change,2,0.03642359156110283
market_amount_change,3,-0.0035095515873362886
market_amount_change,5,0.006846873207534241
market_amount_change,10,0.018958078629015204
stock_volume_change,0,0.38576035600085934
stock_volume_change,1,-0.02099287845094124
stock_volume_change,2,0.05770160569341814
stock_volume_change,3,0.049948711443075285
stock_volume_change,5,0.01113061799353734
stock_volume_change,10,-0.010384188916309284
stock_turnover_change,0,0.40343954034309276
stock_turnover_change,1,-0.018089488235995224
stock_turnover_change,2,0.06019510954717325
stock_turnover_change,3,0.049283786948968594
stock_turnover_change,5,0.012571893060814717
stock_turnover_change,10,-0.013982848929650212
