variable,stock_return,sh_return,sz_return,cyb_return,hs300_return,broker_return,market_amount_change,stock_volume_change,stock_turnover_change
stock_return,1.0,0.5436602221184996,0.5583333276047917,0.5185671735131372,0.5336687605532173,0.7018396131387161,0.24659204635657903,0.38488965832664407,0.375652414173489
sh_return,0.5436602221184996,1.0,0.9035946357236323,0.7864406245597791,0.9487755101701418,0.790367884111251,0.23777970580723373,0.18086732378751055,0.17909780706906145
sz_return,0.5583333276047917,0.9035946357236323,1.0,0.9477266095691063,0.9343701531714182,0.7248311024972859,0.245439143044079,0.1794293389501668,0.17779909764452007
cyb_return,0.5185671735131372,0.7864406245597791,0.9477266095691063,1.0,0.8524591649789044,0.6444320106619674,0.22889052072774943,0.16840335332527026,0.16771020001976725
hs300_return,0.5336687605532173,0.9487755101701418,0.9343701531714182,0.8524591649789044,1.0,0.7789295928592845,0.27709101582556567,0.21644914888017566,0.21436667782770266
broker_return,0.7018396131387161,0.790367884111251,0.7248311024972859,0.6444320106619674,0.7789295928592845,1.0,0.3027697564434459,0.32503528615526356,0.32226546551245244
market_amount_change,0.24659204635657903,0.23777970580723373,0.245439143044079,0.22889052072774943,0.27709101582556567,0.3027697564434459,1.0,0.4246760742606024,0.4215107158193539
stock_volume_change,0.38488965832664407,0.18086732378751055,0.1794293389501668,0.16840335332527026,0.21644914888017566,0.32503528615526356,0.4246760742606024,1.0,0.9970208396060684
stock_turnover_change,0.375652414173489,0.17909780706906145,0.17779909764452007,0.16771020001976725,0.21436667782770266,0.32226546551245244,0.4215107158193539,0.9970208396060684,1.0
