model,r2,mae,rmse,direction_accuracy,oos_samples,signal_win_rate,total_return,max_drawdown,trade_count,win_rate,profit_loss_ratio
A,0.32621925284449493,0.021312598521464082,0.03126364279489674,0.7056213017751479,1352,0.4444444444444444,1.1000725238505873,-0.3078468823266428,80,0.55,1.345081356063838
B,0.5537188977042469,0.01717940578529522,0.025443949795473427,0.7699704142011834,1352,0.43037974683544306,0.8621147493779233,-0.2677793885662093,61,0.5245901639344263,1.4521526209211058
C,0.5540342523698814,0.017142917227983948,0.025434958504768793,0.7640532544378699,1352,0.43373493975903615,1.5455270452554553,-0.21742699483832928,64,0.5,1.8708323364385755
D,0.5819933830119141,0.016433667174768497,0.02462475168354909,0.7818047337278107,1352,0.3670886075949367,1.0621766404772166,-0.33643036257833525,67,0.5223880597014925,1.5822086060575005
