model,entry_date,exit_date,entry_price,exit_price,return,holding_days
D,2021-01-08,2021-01-11,20.4,20.42,0.0009803921568629637,3
D,2021-01-12,2021-01-13,18.16,19.26,0.060572687224669686,1
D,2021-01-22,2021-01-25,23.68,23.03,-0.027449324324324342,3
D,2021-04-01,2021-04-07,17.46,17.71,0.014318442153493871,6
D,2021-05-18,2021-06-02,22.16,23.98,0.08212996389891702,15
D,2021-06-15,2021-06-16,22.12,23.1,0.044303797468354444,1
D,2021-06-29,2021-07-01,26.76,26.71,-0.0018684603886398587,2
D,2021-07-02,2021-07-05,24.03,25.23,0.04993757802746557,3
D,2021-07-14,2021-07-19,23.64,25.4,0.0744500846023688,5
D,2021-07-27,2021-07-28,25.78,24.23,-0.06012412723041127,1
D,2021-08-12,2021-08-13,24.75,24.73,-0.0008080808080808133,1
D,2021-08-16,2021-08-24,24.1,24.93,0.03443983402489614,8
D,2021-08-27,2021-08-31,23.98,22.49,-0.0621351125938282,4
D,2021-09-08,2021-09-09,24.75,26.26,0.06101010101010118,1
D,2021-09-14,2021-09-16,27.36,28.25,0.03252923976608191,2
D,2022-01-10,2022-01-11,25.91,27.27,0.052489386337321475,1
D,2022-02-14,2022-02-16,28.22,30.04,0.0644932671863927,2
D,2022-04-14,2022-04-19,27.2,30.15,0.10845588235294112,5
D,2022-05-18,2022-05-25,29.89,29.31,-0.01940448310471743,7
D,2022-05-27,2022-06-01,29.19,28.75,-0.015073655361425131,5
D,2022-06-29,2022-07-08,41.0,38.34,-0.06487804878048775,9
D,2022-07-29,2022-08-01,36.2,36.07,-0.0035911602209945936,3
D,2022-08-15,2022-08-18,39.35,39.37,0.0005082592121981033,3
D,2022-08-23,2022-09-01,37.34,34.56,-0.07445099089448315,9
D,2022-11-04,2022-11-07,30.4,33.39,0.098355263157895,3
D,2022-11-08,2022-11-11,32.33,33.73,0.043303433343643505,3
D,2023-02-03,2023-02-06,39.15,38.87,-0.007151979565772737,3
D,2023-03-29,2023-04-04,36.47,40.61,0.11351795996709635,6
D,2023-04-11,2023-04-13,38.11,39.23,0.02938861191288389,2
D,2023-05-05,2023-05-11,33.25,35.28,0.06105263157894725,6
D,2023-05-24,2023-06-01,32.25,33.33,0.033488372093023244,8
D,2023-08-01,2023-08-04,38.04,46.05,0.21056782334384838,3
D,2023-08-15,2023-08-16,46.15,49.58,0.07432286023835322,1
D,2023-08-17,2023-08-21,48.89,46.18,-0.0554305583964001,4
D,2023-08-30,2023-08-31,47.51,44.79,-0.05725110503051978,1
D,2023-09-26,2023-10-16,42.44,40.56,-0.04429783223374151,20
D,2023-10-26,2023-11-01,39.3,41.16,0.047328244274809084,6
D,2024-02-08,2024-02-20,28.4,28.89,0.017253521126760596,12
D,2024-08-02,2024-08-12,26.62,25.42,-0.04507888805409466,10
D,2024-09-02,2024-09-18,24.06,23.2,-0.035743973399833706,16
D,2024-10-10,2024-10-11,60.22,51.71,-0.14131517768183322,1
D,2024-10-24,2024-10-30,66.46,64.75,-0.025729762263015266,6
D,2024-10-31,2024-11-01,65.16,70.24,0.07796193984039279,1
D,2024-11-04,2024-11-05,64.75,69.43,0.07227799227799236,1
D,2024-11-11,2024-11-15,73.2,70.26,-0.04016393442622945,4
D,2024-12-09,2024-12-11,73.42,72.83,-0.008035957504767155,2
D,2025-01-24,2025-02-05,62.48,62.33,-0.0024007682458385693,12
D,2025-06-30,2025-07-09,80.17,80.88,0.008856180616190423,9
D,2025-07-15,2025-07-24,84.42,87.92,0.04145936981757892,9
D,2025-08-15,2025-08-18,90.79,115.06,0.26732018944817715,3
D,2025-10-13,2025-10-14,145.92,150.42,0.030838815789473673,1
D,2025-10-28,2025-10-29,150.49,149.44,-0.006977207787892903,1
D,2025-10-31,2025-11-05,146.42,134.47,-0.08161453353367032,5
D,2025-11-12,2025-11-14,123.92,121.59,-0.018802453195610025,2
D,2025-12-09,2025-12-11,128.72,127.73,-0.007691112492231089,2
D,2026-04-13,2026-04-14,101.03,103.78,0.02721963773136693,1
D,2026-04-17,2026-04-22,99.17,98.5,-0.006756075426035957,5
D,2026-06-01,2026-06-05,91.3,87.87,-0.037568455640744625,4
D,2026-06-11,2026-06-16,80.01,93.2,0.16485439320084994,5
D,2026-06-25,2026-06-30,98.0,91.69,-0.06438775510204098,5
D,2026-07-02,2026-07-02,94.98,88.99,-0.06306590861233952,0
